name,slug,category,pillar,description,url,aliases,parent_slug
TOTVS Agro Comercialização - Linha Datasul,comercializacao-linha-datasul,Agro,Gestão,"O TOTVS Agro Comercialização – Linha Datasul é o módulo do ERP Datasul especializado para comercialização de commodities agrícolas. É um sistema robusto, com flexibilidade de customização e capacidade de atender peculiaridades do processo comercial. Com ele, você controla todo o processo de negociação e gestão de preços e contratos.",https://produtos.totvs.com/produto/agro/comercializacao-linha-datasul/,TOTVS Agro Comercialização - Linha Datasul|Agro Comercialização - Linha Datasul|Agro Comercialização|comercializacao linha datasul,agro
TOTVS Agro Comercialização - Linha Protheus,comercializacao-linha-protheus,Agro,Gestão,"O TOTVS Agro Comercialização – Linha Protheus foi desenvolvido para o gerenciamento de processos de comercialização de commodities agrícolas. É um sistema ágil, flexível, customizável e que atende as peculiaridades dos diversos segmentos da agricultura.",https://produtos.totvs.com/produto/agro/comercializacao-linha-protheus/,TOTVS Agro Comercialização - Linha Protheus|Agro Comercialização - Linha Protheus|Agro Comercialização|comercializacao linha protheus,agro
TOTVS Agro Comercialização de Commodities,comercializacao-commodities,Agro,Gestão,Gerencie com eficiência a compra e venda de commodities agrícolas e reduza os riscos físicos e financeiros na movimentação dos produtos com um ERP completo.,https://produtos.totvs.com/produto/agro/comercializacao-commodities/,TOTVS Agro Comercialização de Commodities|Agro Comercialização de Commodities|comercializacao commodities,agro
TOTVS Agro Conecta Dados,conecta-dados,Agro,Gestão,"O TOTVS Agro Conecta Dados é uma plataforma independente, desenvolvida para integrar automaticamente os dados coletados a partir da operação de máquinas, equipamentos e veículos agrícolas aos sistemas TOTVS Agro Multicultivo e TOTVS Agro Bioenergia, impulsionando, dessa forma, a produtividade e eficiência nas lavouras.",https://produtos.totvs.com/produto/agro/conecta-dados/,TOTVS Agro Conecta Dados|Agro Conecta Dados|conecta dados,agro
TOTVS Agro Distribuidor – Linha Protheus,totvs-agro-distribuidor-linha-protheus,Agro,Gestão,Roadmap – TOTVS Agro Distribuidor – Linha Protheus,https://produtos.totvs.com/produto/agro/totvs-agro-distribuidor-linha-protheus/,TOTVS Agro Distribuidor – Linha Protheus|Agro Distribuidor – Linha Protheus|totvs agro distribuidor linha protheus,agro
TOTVS Agro Fitossanitário,fitossanitario,Agro,Gestão,"O TOTVS Agro Fitossanitário é um sistema que permite realizar Inspeções Fitossanitárias de modo fácil e intuitivo, com um Catálogo de Pragas totalmente atualizado.",https://produtos.totvs.com/produto/agro/fitossanitario/,TOTVS Agro Fitossanitário|Agro Fitossanitário|fitossanitario,agro
TOTVS Agro Multicultivo,multicultivo,Agro,Gestão,"O TOTVS Agro Multicultivo é uma solução de gestão agrícola completa para a cadeia produtiva do agronegócio, com flexibilidade para atender os mais diversos tipos de cultivo. Trata-se de um produto robusto e versátil, capaz de gerenciar todas as etapas do processo, da escolha da área de plantio até a colheita, passando pelo uso de insumos, máquinas, pessoas, recursos, etc.",https://produtos.totvs.com/produto/agro/multicultivo/,TOTVS Agro Multicultivo|Agro Multicultivo|multicultivo,agro
TOTVS Agro Portal Agrícola,portal-agricola,Agro,Gestão,O TOTVS Agro Portal Agrícola foi desenvolvido para estreitar a relação da sua empresa com clientes e fornecedores na cadeia produtiva do agronegócio. Com ferramentas para construção de relatórios de forma customizada e com uma excelente experiência de uso.,https://produtos.totvs.com/produto/agro/portal-agricola/,TOTVS Agro Portal Agrícola|Agro Portal Agrícola|portal agricola,agro
TOTVS OTIMIZAÇÃO LOGÍSTICA,totvs-otimizacao-logistica-agro,Agro,Gestão,,https://produtos.totvs.com/produto/agro/totvs-otimizacao-logistica-agro/,TOTVS OTIMIZAÇÃO LOGÍSTICA|OTIMIZAÇÃO LOGÍSTICA|totvs otimizacao logistica agro,agro
TOTVS ROTEIRIZAÇÃO E ENTREGAS,totvs-roterizacao-e-entregas-agro,Agro,Gestão,,https://produtos.totvs.com/produto/agro/totvs-roterizacao-e-entregas-agro/,TOTVS ROTEIRIZAÇÃO E ENTREGAS|ROTEIRIZAÇÃO E ENTREGAS|totvs roterizacao e entregas agro,agro
Gestão de Códigos Fonte by IT UP Business,gestao-de-codigos-fonte-by-it-up-business,Aplicações SAAS,Gestão,"Automatize o controle de histórico, versionamento, comparações de versões e backup das customizações em banco de dados, controle de reserva de fontes, entre outras funções dos ERPs TOTVS das linhas Protheus, Datasul, Logix e RM.",https://produtos.totvs.com/produto/servicos/aplicacoes-saas/gestao-de-codigos-fonte-by-it-up-business/,Gestão de Códigos Fonte by IT UP Business|gestao de codigos fonte by it up business,aplicacoes-saas
Gestão de Códigos Fonte TOTVS Fluig by iv2,gestao-de-codigos-fonte-totvs-fluig-by-iv2,Aplicações SAAS,Gestão,"Conte com o Gestão de Códigos Fonte TOTVS Fluig by iv2 para gestão automática dos objetos customizados no TOTVS Fluig Plataforma. Com ele, você tem um sistema 100% digital para guardar as fontes com total segurança, e manter seu ambiente Fluig sempre atualizado e seguro.",https://produtos.totvs.com/produto/servicos/aplicacoes-saas/gestao-de-codigos-fonte-totvs-fluig-by-iv2/,Gestão de Códigos Fonte TOTVS Fluig by iv2|gestao de codigos fonte totvs fluig by iv2,aplicacoes-saas
Legal Data,legal-data,Aplicações SAAS,Gestão,"Tenha uma ferramenta para receber notas de expediente de publicações oficiais e andamentos internos de processos de tribunais estaduais e federais, diretamente no seu sistema de gestão jurídica.",https://produtos.totvs.com/produto/servicos/aplicacoes-saas/legal-data/,Legal Data,aplicacoes-saas
Monitoramento de Ambientes by Groundwork,monitoramento-de-ambientes-by-groundwork,Aplicações SAAS,Gestão,"Conte com o Monitoramento de Ambientes by Groundwork para acompanhar de forma automática o funcionamento da sua infraestrutura de tecnologia, seja em servidores locais ou em nuvens de terceiros.",https://produtos.totvs.com/produto/servicos/aplicacoes-saas/monitoramento-de-ambientes-by-groundwork/,Monitoramento de Ambientes by Groundwork,aplicacoes-saas
Assessment by BLAST!,assessment-by-blast,Assessment by BLAST!,Gestão,"Conte com uma ferramenta de assessment para medir, por meio de uma experiência de autoconhecimento, a dominância do colaborador em relação a 84 habilidades socioemocionais.",https://produtos.totvs.com/produto/assessment-by-blast/,Assessment by BLAST!|assessment by blast,
Assistente Digital DMS by Simova,assistente-digital-dms-by-simova,Assistente Digital DMS by Simova,Gestão,,https://produtos.totvs.com/produto/assistente-digital-dms-by-simova/,Assistente Digital DMS by Simova,
Assistente de Processos by Handy,assistente-de-processos-by-handy,Assistente de Processos by Handy,Gestão,Conte com o Assistente de Processos by Handy para realizar movimentações de processos do TOTVS Fluig Plataforma e do TOTVS Fluig No-Code por meio do Whatsapp.,https://produtos.totvs.com/produto/assistente-de-processos-by-handy/,Assistente de Processos by Handy,
Atendimento Digital by CM Tecnologia,atendimento-digital-by-cm-tecnologia,Atendimento Digital by CM Tecnologia,Gestão,Ofereça para seus pacientes uma interface amigável e intuitiva para o autoatendimento. Sistema que atende qualquer tipo de instituição de saúde.,https://produtos.totvs.com/produto/atendimento-digital-by-cm-tecnologia/,Atendimento Digital by CM Tecnologia,
Auditor Fiscal by Neogrid,auditor-fiscal-by-neogrid,Auditor Fiscal by Neogrid,Gestão,,https://produtos.totvs.com/produto/auditor-fiscal-by-neogrid/,Auditor Fiscal by Neogrid,
Autopagamento by Videosoft,autopagamento-by-videosoft,Autopagamento by Videosoft,Gestão,"O Autopagamento by Videosoft é um sistema para recebimento de pagamentos voltado para o segmento de Food Service, que dá mais autonomia para os clientes e permite aos estabelecimentos dar mais velocidade no atendimento, reduzir filas e evitar quebras de caixa.",https://produtos.totvs.com/produto/autopagamento-by-videosoft/,Autopagamento by Videosoft,
BI by TARGIT,bi-by-targit,BI by TARGIT,Gestão,"O BI by TARGIT é um sistema de Business Intelligence desenhado especialmente para empresas de Atacado, Distribuição e Varejo, com mais de 100 indicadores de negócios prontos para uso.",https://produtos.totvs.com/produto/bi-by-targit/,BI by TARGIT,
Balanceamento de Estoque by Neogrid,balanceamento-de-estoque-by-neogrid,Balanceamento de Estoque by Neogrid,Gestão,Conte com o Balanceamento de Estoque by Neogrid para fazer a gestão completa do estoque da sua empresa.,https://produtos.totvs.com/produto/balanceamento-de-estoque-by-neogrid/,Balanceamento de Estoque by Neogrid,
Carbono IA by Deep,carbono-ia-by-deep,Carbono IA by Deep,Gestão,,https://produtos.totvs.com/produto/carbono-ia-by-deep/,Carbono IA by Deep,
Colaboração by Neogrid,colaboracao-by-neogrid,Colaboração by Neogrid,Gestão,Conte com o sistema Colaboração by Neogrid para organizar a gestão dos documentos tributários da sua empresa.,https://produtos.totvs.com/produto/colaboracao-by-neogrid/,Colaboração by Neogrid|colaboracao by neogrid,
Conciliação de Cartões by Evencard,conciliacao-de-cartoes-by-evencard,Conciliação de Cartões by Evencard,Gestão,"O Conciliação de Cartões by Evencard é um sistema desenhado especialmente para a automação da conciliação de transações com cartões de débito e crédito, PIX e carteiras digitais – incluindo transações realizadas em operações com aplicativos de delivery e compras com cartão alimentação e refeição.",https://produtos.totvs.com/produto/conciliacao-de-cartoes-by-evencard/,Conciliação de Cartões by Evencard|conciliacao de cartoes by evencard,
Base de Dados Construção by OrceCerto,base-de-dados-construcao-by-orcecerto,Construção,Gestão,A Base de Dados Construção by OrceCerto é a base de preços de insumos e composições de serviço mais completa para todos os segmentos da indústria de construção.,https://produtos.totvs.com/produto/construcao/base-de-dados-construcao-by-orcecerto/,Base de Dados Construção by OrceCerto|base de dados construcao by orcecerto,construcao
Construção,construcao,Construção,Gestão,Os produtos TOTVS estão em constante evolução para transpor desafios e acompanhar cada etapa da jornada digital da sua empresa.,https://produtos.totvs.com/produto/construcao/,Construção|construcao,
Indicações Imobiliárias by OQDigital,indicacoes-imobiliarias-by-oqdigital,Construção,Gestão,,https://produtos.totvs.com/produto/construcao/indicacoes-imobiliarias-by-oqdigital/,Indicações Imobiliárias by OQDigital|indicacoes imobiliarias by oqdigital,construcao
TOTVS Construção Gestão de Imóveis,gestao-de-imoveis,Construção,Gestão,"O TOTVS Construção Gestão de Imóveis é um pacote completo de soluções de gestão imobiliária. Nele, você pode acompanhar e gerenciar a carteira de imóveis para aluguel ou a manutenção de ativos imobiliários em todas as fases do negócio, desde a compra do terreno à montagem do estande de vendas.",https://produtos.totvs.com/produto/construcao/gestao-de-imoveis/,TOTVS Construção Gestão de Imóveis|Construção Gestão de Imóveis|gestao de imoveis,construcao
TOTVS Construção Gestão de Shopping Center,totvs-construcao-gestao-de-shopping-center,Construção,Gestão,,https://produtos.totvs.com/produto/construcao/totvs-construcao-gestao-de-shopping-center/,TOTVS Construção Gestão de Shopping Center|Construção Gestão de Shopping Center|totvs construcao gestao de shopping center,construcao
TOTVS Construção Obras e Projetos,obras-e-projetos,Construção,Gestão,"O TOTVS Construção Obras e Projetos é um sistema robusto para empresas de Construção e Projetos. Com ele, é possível realizar tarefas essenciais no gerenciamento de obras em todas as fases de projeto, mobilização, execução, entrega e manutenção.",https://produtos.totvs.com/produto/construcao/obras-e-projetos/,TOTVS Construção Obras e Projetos|Construção Obras e Projetos|obras e projetos,construcao
TOTVS Construção Portal de Imóveis,totvs-construcao-portal-de-imoveis,Construção,Gestão,"O TOTVS Construção Portal de Imóveis é uma plataforma com acesso web, para a gestão comercial da sua carteira imobiliária, com recursos que cobrem toda a jornada de vendas e aluguel.",https://produtos.totvs.com/produto/construcao/totvs-construcao-portal-de-imoveis/,TOTVS Construção Portal de Imóveis|Construção Portal de Imóveis|totvs construcao portal de imoveis,construcao
Gestão LGPD by EMX,gestao-lgpd-by-emx,Consultoria de Compliance,Gestão,Conte com uma ferramenta para direcionar e gerenciar o cumprimento da legislação de proteção de dados pessoais (LGPD) e mantenha sua empresa em compliance.,https://produtos.totvs.com/produto/totvs-consulting/consultoria-de-compliance/gestao-lgpd-by-emx/,Gestão LGPD by EMX|gestao lgpd by emx,consultoria-de-compliance
Contabilidade Digital by Confiágil,contabilidade-digital-by-confiagil,Contabilidade Digital by Confiágil,Gestão,Conte com uma plataforma digital de comunicação e com uma equipe especializada de profissionais contábeis. A Confiabilidade Digital by Confiágil proporciona um serviço contábil altamente confiável.,https://produtos.totvs.com/produto/contabilidade-digital-by-confiagil/,Contabilidade Digital by Confiágil|contabilidade digital by confiagil,
Conversas by Worknow,conversas-by-worknow,Conversas by Worknow,Gestão,,https://produtos.totvs.com/produto/conversas-by-worknow/,Conversas by Worknow,
Alerta Compliance,alerta-compliance,Dimensa,Gestão,"O Alerta Compliance é uma plataforma que automatiza o acompanhamento das novas regulações do setor financeiro, facilitando o trabalho de compliance da sua empresa e reduzindo o risco de não-conformidade em suas operações.",https://produtos.totvs.com/produto/dimensa/alerta-compliance/,Alerta Compliance,dimensa
Background Check,background-check,Dimensa,Gestão,"O Background Check é um sistema de verificação de histórico e background de clientes, fornecedores, funcionários e prestadores de serviços que ajuda as instituições financeiras e demais empresas a manter o compliance legal junto a órgãos regulatórios.",https://produtos.totvs.com/produto/dimensa/background-check/,Background Check,dimensa
Banco Digital,banco-digital,Dimensa,Gestão,"O Banco Digital é uma plataforma de tecnologia completa para serviços financeiros que permite construir uma operação bancária ou financeira personalizada, a partir do zero. Além disso, a plataforma é integrada com o Internet Banking, formando a solução completa de Banco Digital da Dimensa.",https://produtos.totvs.com/produto/dimensa/banco-digital/,Banco Digital,dimensa
Cartões,cartoes,Dimensa,Gestão,"Conte com o Cartões para administrar todas as etapas da gestão de Cartão Private Label, com a marca do seu negócio e tecnologia da Dimensa.",https://produtos.totvs.com/produto/dimensa/cartoes/,Cartões|cartoes,dimensa
Core Banking,core-banking,Dimensa,Gestão,"O Core Banking é uma solução tecnológica para atender as demandas de ponta a ponta. O sistema é escalável, e permite atender instituições financeiras de qualquer porte.",https://produtos.totvs.com/produto/dimensa/core-banking/,Core Banking,dimensa
Crédito Inteligente,credito-inteligente,Dimensa,Gestão,O Crédito Inteligente é um sistema que usa tecnologia de Big Data e Inteligência Artificial para automatizar a captura e a análise de dados para reduzir o risco e dar mais segurança às operações de crédito da sua empresa.,https://produtos.totvs.com/produto/dimensa/credito-inteligente/,Crédito Inteligente|credito inteligente,dimensa
Dimensa,dimensa,Dimensa,Gestão,,https://produtos.totvs.com/produto/dimensa/,Dimensa,
Gestão de Documentos para Crédito,gestao-de-documentos-para-credito,Dimensa,Gestão,O Gestão de Documentos para Crédito é um sistema que organiza a gestão dos arquivos digitais de documentação que envolve o processo de concessão de crédito.,https://produtos.totvs.com/produto/dimensa/gestao-de-documentos-para-credito/,Gestão de Documentos para Crédito|gestao de documentos para credito,dimensa
Internet Banking,internet-banking,Dimensa,Gestão,"O Internet Banking é uma plataforma completa de serviços bancários pela internet. Com ela, você pode construir do zero uma operação bancária ou financeira personalizada.",https://produtos.totvs.com/produto/dimensa/internet-banking/,Internet Banking,dimensa
Investimentos Ativo,investimentos-ativo,Dimensa,Gestão,Conte com uma plataforma completa de gestão de ativos financeiros que cobre praticamente todo o portfólio oferecido por instituições financeiras no mercado brasileiro.,https://produtos.totvs.com/produto/dimensa/investimentos-ativo/,Investimentos Ativo,dimensa
Investimentos Passivo,investimentos-passivo,Dimensa,Gestão,Conte com o Investimentos Passivo para garantir o gerenciamento de passivos financeiros em operações de investimento de instituições financeiras.,https://produtos.totvs.com/produto/dimensa/investimentos-passivo/,Investimentos Passivo,dimensa
Onboarding Digital,onboarding-digital,Dimensa,Gestão,"O Onboarding Digital é uma plataforma para verificação de identidade e validação de cadastro de clientes, funcionários, fornecedores e prestadores de serviços. Com ele, você previne fraudes e ganha mais segurança em suas operações.",https://produtos.totvs.com/produto/dimensa/onboarding-digital/,Onboarding Digital,dimensa
Workflow para Crédito,workflow-para-credito,Dimensa,Gestão,"O Workflow para Crédito é um sistema de automação de fluxo para processos de concessão de crédito. Com ele, cada etapa do processo é disparada automaticamente e o sistema centraliza a gestão e a comunicação, proporcionando mais segurança e eficiência do início ao fim do fluxo.",https://produtos.totvs.com/produto/dimensa/workflow-para-credito/,Workflow para Crédito|workflow para credito,dimensa
Automação de Vendas by N3urons,automacao-de-vendas-by-n3urons,Distribuição,Gestão,,https://produtos.totvs.com/produto/distribuicao/automacao-de-vendas-by-n3urons/,Automação de Vendas by N3urons|automacao de vendas by n3urons,distribuicao
Cobrança Digital by Pague Bem Brasil,cobranca-digital-by-pague-bem-brasil,Distribuição,Gestão,,https://produtos.totvs.com/produto/distribuicao/cobranca-digital-by-pague-bem-brasil/,Cobrança Digital by Pague Bem Brasil|cobranca digital by pague bem brasil,distribuicao
Distribuição,distribuicao,Distribuição,Gestão,Os produtos TOTVS estão em constante evolução para transpor desafios e acompanhar cada etapa da jornada digital da sua empresa.,https://produtos.totvs.com/produto/distribuicao/,Distribuição|distribuicao,
Inteligência de Vendas by N3urons,inteligencia-de-vendas-by-n3urons,Distribuição,Gestão,,https://produtos.totvs.com/produto/distribuicao/inteligencia-de-vendas-by-n3urons/,Inteligência de Vendas by N3urons|inteligencia de vendas by n3urons,distribuicao
Plataforma B2B by Isthmus,plataforma-b2b-by-isthmus,Distribuição,Gestão,,https://produtos.totvs.com/produto/distribuicao/plataforma-b2b-by-isthmus/,Plataforma B2B by Isthmus,distribuicao
TOTVS Distribuição e Varejo - Linha Winthor,totvs-distribuicao-varejo-linha-winthor,Distribuição,Gestão,"O TOTVS Distribuição e Varejo - Linha Winthor, sistema de ERP líder no segmento Atacadista Distribuidor, é uma ferramenta poderosa e integrada de gestão. Com ele, você agiliza as operações e processos em todas as etapas do seu negócio, desde a compra, recebimento e armazenagem de mercadorias, até a venda, separação e expedição de produtos, além de controlar todo o backoffice financeiro, contábil e fiscal da sua empresa.",https://produtos.totvs.com/produto/distribuicao/totvs-distribuicao-varejo-linha-winthor/,TOTVS Distribuição e Varejo - Linha Winthor|Distribuição e Varejo - Linha Winthor|Distribuição e Varejo|Linha Winthor|totvs distribuicao varejo linha winthor,distribuicao
TOTVS ROTEIRIZAÇÃO E ENTREGAS,totvs-roterizacao-e-entregas-distribuicao,Distribuição,Gestão,,https://produtos.totvs.com/produto/distribuicao/totvs-roterizacao-e-entregas-distribuicao/,TOTVS ROTEIRIZAÇÃO E ENTREGAS|ROTEIRIZAÇÃO E ENTREGAS|totvs roterizacao e entregas distribuicao,distribuicao
TOTVS WMS - Linha Winthor,totvs-wms-linha-winthor,Distribuição,Gestão,"O TOTVS WMS – Linha Winthor é um sistema de gestão de armazenagem vocacionado para atender o setor de Distribuição, com alta velocidade operacional, rastreabilidade e controle preciso dos estoques, que permite otimizar recursos e administrar de forma mais efetiva seus processos de armazenagem.",https://produtos.totvs.com/produto/distribuicao/totvs-wms-linha-winthor/,TOTVS WMS - Linha Winthor|WMS - Linha Winthor|WMS|Linha Winthor|totvs wms linha winthor,distribuicao
TOTVS WMS – LINHA DATASUL,totvs-wms-linha-datasul-distribuicao,Distribuição,Gestão,,https://produtos.totvs.com/produto/distribuicao/totvs-wms-linha-datasul-distribuicao/,TOTVS WMS – LINHA DATASUL|WMS – LINHA DATASUL|totvs wms linha datasul distribuicao,distribuicao
TOTVS WMS – LINHA PROTHEUS,totvs-wms-linha-protheus-distribuicao,Distribuição,Gestão,,https://produtos.totvs.com/produto/distribuicao/totvs-wms-linha-protheus-distribuicao/,TOTVS WMS – LINHA PROTHEUS|WMS – LINHA PROTHEUS|totvs wms linha protheus distribuicao,distribuicao
E-procurement by Mercado Eletrônico,e-procurement-by-mercado-eletronico,E-procurement by Mercado Eletrônico,Gestão,,https://produtos.totvs.com/produto/e-procurement-by-mercado-eletronico/,E-procurement by Mercado Eletrônico|e procurement by mercado eletronico,
EDI by Neogrid,edi-by-neogrid,EDI by Neogrid,Gestão,Conte com um sistema de Electronic Data Interchange e integre os dados da sua empresa com os sistemas usados por seus parceiros.,https://produtos.totvs.com/produto/edi-by-neogrid/,EDI by Neogrid,
Easy Quality by iv2,easy-quality-by-iv2,Easy Quality by iv2,Gestão,O Easy Quality by iv2 é totalmente integrado ao TOTVS Fluig Plataforma e proporciona gestão de controle de qualidade.,https://produtos.totvs.com/produto/easy-quality-by-iv2/,Easy Quality by iv2,
Edutainment by BLAST!,edutainment-by-blast,Edutainment by BLAST!,Gestão,"O Edutainment by BLAST! é um web app voltado para o desenvolvimento humano e a criação de engajamento. O sistema possibilita que colaboradores da sua empresa desenvolvam habilidades socioemocionais através de atividades que incluem streaming de vídeos, trilhas de conhecimento personalizadas, pílulas de conhecimento, podcasts e lives.",https://produtos.totvs.com/produto/edutainment-by-blast/,Edutainment by BLAST!|edutainment by blast,
Eleve,eleve,Eleve,Gestão,"Eleve Gestão é o ERP para pequenas empresas ideal para gerenciar o controle financeiro de ponta a ponta. O sistema garante muito mais agilidade nos negócios, roda 100% na nuvem e pode ser acessado na palma da mão a qualquer momento. Desenvolvido com foco em prestadores de serviços, startups e revendedores de produtos em geral , o sistema oferece recursos de controle de estoque e compras à emissão de notas e fluxo de caixa.",https://produtos.totvs.com/produto/eleve/,Eleve,
Eleve Gestão,eleve-gestao,Eleve,Gestão,"O Eleve Gestão é o melhor assistente para administração de finanças de micro e pequenas empresas, MEIs e Startups. Emita boletos, acompanhe seu caixa em tempo real, controle diariamente as contas a pagar e a receber e mantenha o controle financeiro do seu negócio em dia.",https://produtos.totvs.com/produto/eleve/eleve-gestao/,Eleve Gestão|eleve gestao,eleve
Eleve Saúde - Linha Personal Med,eleve-saude-linha-personal-med,Eleve,Gestão,"O Eleve Saúde - Linha Personal Med é uma solução especialista desenvolvida para atender o segmento de consultórios médicos e clínicas de pequeno porte. Um sistema de gestão leve, ágil, que você contrata por assinatura, e que é 100% web, isso quer dizer que você pode acessar as informações de seus pacientes e a agenda da clínica a qualquer hora e lugar.",https://produtos.totvs.com/produto/eleve/eleve-saude-linha-personal-med/,Eleve Saúde - Linha Personal Med|Eleve Saúde|Linha Personal Med|eleve saude linha personal med,eleve
Eleve Vendas,eleve-vendas,Eleve,Gestão,"O Eleve Vendas é um sistema de frente de caixa que possui Inteligência Artificial e ferramentas de gestão desenvolvidas para impulsionar o crescimento de seus negócios, e que ainda mantem sua empresa em conformidade com todas as exigências legais relacionadas à emissão de notas fiscais eletrônicas.",https://produtos.totvs.com/produto/eleve/eleve-vendas/,Eleve Vendas,eleve
Emissor CIOT by NDD,emissor-ciot-by-ndd,Emissor CIOT by NDD,Gestão,Facilite a geração do Código de Identificação da Operação de Transporte (CIOT) junto à ANTT.,https://produtos.totvs.com/produto/emissor-ciot-by-ndd/,Emissor CIOT by NDD,
Autopagamento by Gototem,autopagamento-by-gototem,Food Service,Gestão,,https://produtos.totvs.com/produto/totvs-food-service/autopagamento-by-gototem/,Autopagamento by Gototem,totvs-food-service
Conector Marketplaces by Hyperlocal,conector-marketplaces-hyperlocal,Food Service,Gestão,,https://produtos.totvs.com/produto/totvs-food-service/conector-marketplaces-hyperlocal/,Conector Marketplaces by Hyperlocal|conector marketplaces hyperlocal,totvs-food-service
Food Service,totvs-food-service,Food Service,Gestão,"O TOTVS Food Service é um sistema de gestão completo para o varejo de food service, que proporciona mais eficiência operacional, mais produtividade e mais equilíbrio financeiro para o seu negócio.",https://produtos.totvs.com/produto/totvs-food-service/,Food Service|totvs food service,
Frotas by Sofit,frotas-by-sofit,Frotas by Sofit,Gestão,"Com o Frotas by Sofit você faz a gestão completa de todos os tipos de veículos da sua empresa, com processos automatizados, consolidando todas as informações sobre a frota em um só lugar.",https://produtos.totvs.com/produto/frotas-by-sofit/,Frotas by Sofit,
GRC,grc,GRC,Gestão,,https://produtos.totvs.com/produto/grc/,GRC,
Gesplan Planejamento e Orçamento,gesplan-planejamento-e-orcamento,Gesplan Planejamento e Orçamento,Gestão,Conte com o sistema Gesplan Planejamento e Orçamento para consolidar de forma simples as informações financeiras e orçamentárias de todas as áreas da sua empresa. Tenha agilidade na consulta de dados e controle centralizado.,https://produtos.totvs.com/produto/gesplan-planejamento-e-orcamento/,Gesplan Planejamento e Orçamento|gesplan planejamento e orcamento,
Gestão ESG by Deep,gestao-esg-by-deep,Gestão ESG by Deep,Gestão,,https://produtos.totvs.com/produto/gestao-esg-by-deep/,Gestão ESG by Deep|gestao esg by deep,
Gestão Estratégica by Facilit,gestao-estrategica-by-facilit,Gestão Estratégica by Facilit,Gestão,"Conte com uma plataforma de governança que possibilita uma abordagem sistemática para seu planejamento estratégico. Com o sistema Gestão Estratégica by Facilit, você tem muito mais que um sistema de gestão de projetos.",https://produtos.totvs.com/produto/gestao-estrategica-by-facilit/,Gestão Estratégica by Facilit|gestao estrategica by facilit,
